エアコンつけて,VignetteController
部屋さむい,VignetteController
部屋が寒い,VignetteController
室内が寒い,VignetteController
室内がさむい,VignetteController
この部屋さむくね,VignetteController
この部屋あつくね,VignetteController
室内があつい,VignetteController
室内あつい,VignetteController
もう寝るわ,VignetteController
そろそろ寝るわ,VignetteController
うるさい,VignetteController
音さげて,VignetteController
音あげて,VignetteController
聞こえない,VignetteController
今、何度？,VignetteController
この部屋の温度,VignetteController
何が鳴ってるの,VignetteController
うるせーんだけど,VignetteController
ちょっと暗くして,VignetteController
電気つけて,VignetteController
照明さげて,VignetteController
照明あげて,VignetteController
照明強くして,VignetteController
なんか鳴ってる？,VignetteController
来客モードにして,VignetteController
お客様きてるから,VignetteController
お客さん来てるから,VignetteController
窓開いてる？,VignetteController
窓しめた？,VignetteController
戸締り大丈夫？,VignetteController
車かえってきたら教えて,VignetteController
車着たら教えて,VignetteController
車きたら教えて,VignetteController
駐車場に車きたら教えて,VignetteController
さん帰ってきたら教えて,VignetteController
誰か分かる？,VignetteController
留守ってことにしといて,VignetteController
いないってことにしといて,VignetteController
最後使ったのいつだっけ？,VignetteController
異常がないか全部チェックして,VignetteController
何かエラーある？,VignetteController
診断して,VignetteController
故障かな？,VignetteController
湯沸かし器とめといて,VignetteController
湯沸し器つけといて,VignetteController
うっせんだけど,VignetteController
何買えばいいの？,VignetteController
ストックあったっけ？,VignetteController
在庫あったっけ？,VignetteController
もうちょっと下げて,VignetteController
もうちょっと上げて,VignetteController
